ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
81 1 1 88.5681 9.04192 1.87537 
82 1 1 88.1184 9.45706 1.20088 
83 1 1 88.0447 9.98669 1.98286 
84 1 1 87.6451 10.3285 2.81969 
85 1 1 86.9266 10.8429 3.24234 
86 1 1 87.0327 11.8416 3.09708 
87 1 1 88.0511 11.6539 3.10357 
88 1 1 88.6846 12.1885 2.46946 
89 1 1 89.1195 12.872 1.91676 
90 1 1 89.7231 13.5827 1.63355 
91 1 1 89.1611 13.8492 0.8583 
92 1 1 89.9655 14.3578 0.58894 
93 1 1 89.7412 14.9548 99.7973 
94 1 1 89.0089 14.562 99.3845 
95 1 1 88.2141 15.1897 99.7799 
96 1 1 87.9117 14.5477 0.45743 
97 1 1 87.4125 14.0743 1.10723 
98 1 1 88.076 13.9904 1.74926 
99 1 1 88.2091 13.4725 2.57797 
100 1 1 88.7596 14.2372 2.99091 
ITEM: TIMESTEP
40000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 93.6711 0.141825 1.98969 
2 1 1 93.9488 0.487554 1.1766 
3 1 1 94.043 1.48613 1.2343 
4 1 1 93.8024 2.38499 1.0739 
5 1 1 94.346 2.94259 0.393874 
6 1 1 93.9698 2.37454 99.7271 
7 1 1 94.3077 1.4457 99.8886 
8 1 1 93.4336 1.62653 0.274795 
9 1 1 92.5772 1.68381 0.455719 
10 1 1 91.6179 1.57564 0.511832 
11 1 1 91.3318 1.63339 1.38717 
12 1 1 91.0889 2.49882 1.39712 
13 1 1 91.3643 2.28203 2.33435 
14 1 1 91.5823 2.42731 3.29845 
15 1 1 91.9138 2.05373 4.23201 
16 1 1 91.4954 2.96211 4.62779 
17 1 1 91.2976 3.8343 5.01923 
