# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
59400 109422 136753 0 246175
59500 109791 137214 0 247005
59600 110160 137676 0 247837
59700 110531 138139 0 248670
59800 110902 138603 0 249504
59900 111273 139067 0 250340
60000 111645 139532 0 251177
60100 112018 139998 0 252016
60200 112391 140464 0 252856
60300 112765 140932 0 253697
60400 113140 141400 0 254540
60500 113515 141869 0 255384
60600 113891 142339 0 256230
60700 114267 142809 0 257076
60800 114644 143280 0 257925
60900 115022 143752 0 258775
61000 115401 144225 0 259626
61100 115779 144699 0 260478
61200 116159 145173 0 261332
61300 116539 145648 0 262188
61400 116920 146124 0 263044
61500 117301 146601 0 263903
61600 117684 147079 0 264762
61700 118066 147557 0 265623
61800 118450 148036 0 266485
61900 118833 148516 0 267349
62000 119218 148996 0 268214
62100 119603 149478 0 269081
62200 119989 149960 0 269949
62300 120375 150443 0 270818
62400 120762 150926 0 271689
62500 121150 151411 0 272561
62600 121538 151896 0 273434
62700 121927 152382 0 274309
62800 122317 152869 0 275186
62900 122707 153357 0 276063
63000 123098 153845 0 276942
63100 123489 154334 0 277823
63200 123881 154824 0 278705
63300 124274 155315 0 279588
63400 124667 155806 0 280473
63500 125061 156298 0 281359
63600 125455 156791 0 282247
63700 125850 157285 0 283135
63800 126246 157780 0 284026
63900 126642 158275 0 284917
64000 127039 158771 0 285810
64100 127437 159268 0 286705
64200 127835 159766 0 287601
64300 128234 160264 0 288498
64400 128633 160763 0 289397
64500 129033 161263 0 290297
64600 129434 161764 0 291198
64700 129835 162266 0 292101
64800 130237 162768 0 293005
64900 130640 163271 0 293911
65000 131043 163775 0 294818
65100 131447 164280 0 295727
65200 131851 164785 0 296637
65300 132256 165291 0 297548
65400 132662 165798 0 298460
65500 133068 166306 0 299374
65600 133475 166815 0 300290
65700 133883 167324 0 301207
65800 134291 167834 0 302125
65900 134700 168345 0 303045
66000 135109 168857 0 303966
66100 135519 169369 0 304888
66200 135930 169882 0 305812
